Property PK	Property Name	Operator GL PK	Operator Account Code	Operator Account Name	Primary GL PK	Primary Account Code	Primary Account Name	Month	Actual
1833	Oaks at Greenview, The	12649	1659-05	Lead Paint Compliance - Misc	12649	1659-05	Lead Paint Compliance - Misc	2017-06-01	0.00
1833	Oaks at Greenview, The	12649	1659-05	Lead Paint Compliance - Misc	12649	1659-05	Lead Paint Compliance - Misc	2017-07-01	
1833	Oaks at Greenview, The	12651	1659-06	Utility Conservation - Misc	12651	1659-06	Utility Conservation - Misc	2017-05-01	0.00
1833	Oaks at Greenview, The	12651	1659-06	Utility Conservation - Misc	12651	1659-06	Utility Conservation - Misc	2017-06-01	0.00
1833	Oaks at Greenview, The	12651	1659-06	Utility Conservation - Misc	12651	1659-06	Utility Conservation - Misc	2017-07-01	
1833	Oaks at Greenview, The	13015	1618-17	Lt Wt Concrete/Subflooring - Int Apt	13015	1618-17	Lt Wt Concrete/Subflooring - Int Apt	2017-05-01	0.00
1833	Oaks at Greenview, The	13015	1618-17	Lt Wt Concrete/Subflooring - Int Apt	13015	1618-17	Lt Wt Concrete/Subflooring - Int Apt	2017-06-01	0.00
1833	Oaks at Greenview, The	13015	1618-17	Lt Wt Concrete/Subflooring - Int Apt	13015	1618-17	Lt Wt Concrete/Subflooring - Int Apt	2017-07-01	
1833	Oaks at Greenview, The	13016	1654-10	Doors- Ext	13016	1654-10	Doors- Ext	2017-05-01	0.00
1833	Oaks at Greenview, The	13016	1654-10	Doors- Ext	13016	1654-10	Doors- Ext	2017-06-01	0.00
1833	Oaks at Greenview, The	13016	1654-10	Doors- Ext	13016	1654-10	Doors- Ext	2017-07-01	
1833	Oaks at Greenview, The	13017	1654-11	Paint- Ext	13017	1654-11	Paint- Ext	2017-05-01	0.00
1833	Oaks at Greenview, The	13017	1654-11	Paint- Ext	13017	1654-11	Paint- Ext	2017-06-01	0.00
1833	Oaks at Greenview, The	13017	1654-11	Paint- Ext	13017	1654-11	Paint- Ext	2017-07-01	
1833	Oaks at Greenview, The	13018	1654-12	Patio/Balcony/Fencing- Ext	13018	1654-12	Patio/Balcony/Fencing- Ext	2017-05-01	0.00
1833	Oaks at Greenview, The	13018	1654-12	Patio/Balcony/Fencing- Ext	13018	1654-12	Patio/Balcony/Fencing- Ext	2017-06-01	0.00
1833	Oaks at Greenview, The	13018	1654-12	Patio/Balcony/Fencing- Ext	13018	1654-12	Patio/Balcony/Fencing- Ext	2017-07-01	
1833	Oaks at Greenview, The	13019	1654-14	Siding- Ext	13019	1654-14	Siding- Ext	2017-05-01	0.00
1833	Oaks at Greenview, The	13019	1654-14	Siding- Ext	13019	1654-14	Siding- Ext	2017-06-01	0.00
